categoria,pedidos,receita,ticket_medio,nota_media
health_beauty,8647,1461349.75,129.97,4.19
watches_gifts,5495,1316696.84,199.87,4.07
bed_bath_table,9272,1309729.85,92.47,3.92
sports_leisure,7530,1166185.3,113.3,4.16
computers_accessories,6530,1077483.63,116.36,3.99
furniture_decor,6307,931754.14,87.13,3.96
housewares,5743,801521.45,90.38,4.12
cool_stuff,3559,722033.51,162.49,4.19
auto,3810,698077.73,140.47,4.11
garden_tools,3448,595367.38,110.19,4.08
toys,3804,567668.94,116.44,4.21
baby,2809,492151.59,135.45,4.08
perfumery,3086,461050.21,115.72,4.18
telephony,4093,398033.87,70.69,4.0
office_furniture,1254,350631.21,159.12,3.55
stationery,2264,279953.52,90.26,4.24
pet_shop,1688,261180.17,109.91,4.23
computers,177,248924.74,1104.32,4.23
musical_instruments,611,222597.67,295.71,4.23
unknown,1412,218046.47,113.23,3.94
small_appliances,609,210165.94,283.55,4.23
electronics,2517,208760.58,57.59,4.07
fashion_bags_accessories,1820,192667.0,75.12,4.18
luggage_accessories,1019,178480.18,127.78,4.33
consoles_games,1018,176383.67,137.27,4.13
construction_tools_construction,736,166866.64,155.06,4.1
home_appliances_2,227,130235.64,449.31,4.23
home_construction,483,100314.33,137.25,3.97
home_appliances,747,99490.78,103.8,4.23
furniture_living_room,414,90757.76,137.41,3.95
agro_industry_and_commerce,177,88638.0,332.84,4.23
home_confort,392,73327.73,135.77,3.93
air_conditioning,246,60891.24,184.56,4.05
fixed_telephony,212,60698.41,214.02,3.76
kitchen_dining_laundry_garden_furniture,241,59863.3,163.93,4.03
audio,348,58350.54,138.21,3.85
books_general_interest,496,55758.02,84.96,4.5
small_appliances_home_oven_and_coffee,72,50882.7,641.19,4.45
construction_tools_lights,242,48512.1,131.33,4.1
industry_commerce_and_business,232,46634.61,144.84,4.12
construction_tools_safety,159,43657.18,213.19,3.98
food,441,36780.23,57.2,4.27
market_place,274,34369.93,88.27,4.09
costruction_tools_garden,190,31013.61,106.37,4.15
fashion_shoes,235,29387.01,89.15,4.27
art,195,28150.71,116.8,4.07
signaling_and_security,138,27896.37,107.49,4.06
drinks,287,27522.57,59.09,4.13
furniture_bedroom,90,26148.08,176.04,3.94
books_technical,256,23207.27,70.63,4.4
food_drink,221,20858.59,57.69,4.39
costruction_tools_tools,97,18155.42,153.08,4.42
fashion_male_clothing,106,13538.93,81.78,3.65
fashion_underwear_beach,117,12121.34,72.1,4.06
christmas_supplies,125,11978.47,57.66,4.07
tablets_printing_image,79,9140.68,90.12,4.12
cine_photo,63,7944.76,93.09,4.31
music,38,6973.59,156.45,4.2
furniture_mattress_and_upholstery,37,6454.74,119.78,3.88
dvds_blu_ray,56,6326.17,74.36,4.25
party_supplies,38,5608.66,105.23,3.91
books_imported,50,5402.37,78.49,4.53
fashio_female_clothing,36,3297.14,58.71,3.96
fashion_sport,26,2696.64,70.65,4.37
la_cuisine,13,2690.87,144.0,4.13
arts_and_craftmanship,23,2184.14,75.58,4.12
diapers_and_hygiene,25,2046.19,40.56,3.38
flowers,29,1598.91,33.64,4.42
home_comfort_2,24,1194.44,24.94,3.64
cds_dvds_musicals,12,954.99,52.14,4.64
fashion_childrens_clothes,7,598.67,74.28,5.0
security_and_services,2,324.51,141.64,2.5
