purchase_year,purchase_month,pedidos,receita,ticket_medio,frete_medio,periodo
2016,9,1,143.46,44.99,2.83,2016-09
2016,10,265,48314.12,125.17,19.48,2016-10
2016,12,1,19.62,10.9,8.72,2016-12
2017,1,750,138323.99,123.73,17.27,2017-01
2017,2,1653,286678.44,125.28,20.02,2017-02
2017,3,2546,442061.0,123.62,19.07,2017-03
2017,4,2303,414527.46,133.22,19.46,2017-04
2017,5,3546,614714.33,123.5,19.22,2017-05
2017,6,3135,518005.14,119.6,19.42,2017-06
2017,7,3872,610664.84,108.72,19.28,2017-07
2017,8,4193,680858.92,114.33,18.98,2017-08
2017,9,4150,746898.44,128.38,19.81,2017-09
2017,10,4478,789284.92,123.81,19.8,2017-10
2017,11,7289,1205033.35,116.03,19.51,2017-11
2017,12,5513,877503.67,116.76,18.89,2017-12
2018,1,7069,1128150.23,114.93,19.1,2018-01
2018,2,6555,1016511.44,110.65,18.61,2018-02
2018,3,7003,1172957.65,119.07,20.83,2018-03
2018,4,6798,1174143.49,124.16,20.39,2018-04
2018,5,6749,1171614.43,124.88,19.53,2018-05
2018,6,6099,1064996.68,122.97,22.39,2018-06
2018,7,6159,1066593.79,124.53,23.14,2018-07
2018,8,6351,1020340.91,118.05,20.65,2018-08
