estado,pedidos,nota_media,prazo_medio_dias,pct_atraso
SP,40273,4.18,8.66,6.0
RJ,12211,3.88,15.1,13.0
MG,11285,4.12,11.88,5.0
RS,5327,4.08,15.12,7.0
PR,4900,4.15,11.92,5.0
SC,3519,4.05,14.83,9.0
BA,3229,3.86,19.08,13.0
DF,2070,4.05,12.89,7.0
ES,1969,4.01,15.48,12.0
GO,1946,4.03,15.3,8.0
PE,1579,4.03,18.14,10.0
CE,1273,3.88,20.67,15.0
PA,933,3.84,23.41,11.0
MT,879,4.0,17.83,6.0
MA,712,3.74,21.43,20.0
MS,699,4.1,15.42,11.0
PB,512,4.04,20.31,11.0
PI,471,3.92,19.3,16.0
RN,471,4.09,19.56,11.0
AL,394,3.81,24.51,24.0
SE,334,3.9,21.19,15.0
TO,273,4.19,17.11,11.0
RO,242,4.09,19.61,4.0
AM,144,4.1,26.38,4.0
AC,80,4.13,20.53,3.0
AP,66,4.28,28.09,5.0
RR,41,3.89,28.17,11.0
