purchase_year,purchase_month,prazo_medio,prazo_minimo,prazo_maximo,atrasados,total_entregas,pct_atraso,periodo
2016,9,55.0,55.0,55.0,3,3,100.0,2016-09
2016,10,20.272,5.0,70.0,3,334,0.9,2016-10
2016,12,5.0,5.0,5.0,0,1,0.0,2016-12
2017,1,12.804,1.0,104.0,26,981,2.7,2017-01
2017,2,13.347,2.0,210.0,68,1973,3.4,2017-02
2017,3,13.092,2.0,196.0,166,3098,5.4,2017-03
2017,4,14.896,1.0,168.0,201,2715,7.4,2017-04
2017,5,11.529,1.0,183.0,157,4306,3.6,2017-05
2017,6,12.214,1.0,175.0,147,3725,3.9,2017-06
2017,7,11.338,1.0,86.0,170,4771,3.6,2017-07
2017,8,10.739,1.0,115.0,158,5107,3.1,2017-08
2017,9,11.859,1.0,132.0,263,5040,5.2,2017-09
2017,10,11.554,1.0,110.0,271,5496,4.9,2017-10
2017,11,14.87,1.0,173.0,1218,8890,13.7,2017-11
2017,12,15.192,1.0,138.0,533,6469,8.2,2017-12
2018,1,14.02,1.0,191.0,544,8417,6.5,2018-01
2018,2,16.806,1.0,208.0,1224,7864,15.6,2018-02
2018,3,15.929,1.0,104.0,1707,8384,20.4,2018-03
2018,4,11.318,1.0,108.0,394,8123,4.9,2018-04
2018,5,11.286,1.0,143.0,648,8113,8.0,2018-05
2018,6,9.052,1.0,137.0,100,7324,1.4,2018-06
2018,7,8.831,1.0,78.0,313,7220,4.3,2018-07
2018,8,7.615,1.0,51.0,753,7356,10.2,2018-08
